SMILES,IC50,Unit,Unit_Source,IC50-min,IC50-max
C1=CC=C(C=C1)C(=O)C2=CN=C3C(=C2C4=CC(=CC=C4)OCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,16.5,nM,original,16.5,16.5
C1=CC=C(C=C1)C2=C3C=CC=C(C3=NC=C2C(=O)C4=CC=CC=C4)C(F)(F)F,260,nM,original,260.0,260.0
C1=CC=C(C=C1)C(CN(CCCOC2=CC=CC(=C2)CC(=O)O)CC3=C(C(=CC=C3)C(F)(F)F)Cl)C4=CC=CC=C4,12,nM,original,12.0,12.0
C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,10,nM,original,10.0,10.0
C1=CC=C(C=C1)C(=O)C2=CN=C3C(=C2C4=CC(=CC=C4)OCC5=CC=C(C=C5)C(=O)O)C=CC=C3C(F)(F)F,67,nM,original,67.0,67.0
C1=CC=C(C=C1)CC2=CN=C3C(=C2C4=CC(=CC=C4)OCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,2.1,nM,original,2.1,2.1
COC(=O)C1=CC=C(C=C1)COC2=CC=CC(=C2)C3=C4C=CC=C(C4=NC=C3C(=O)C5=CC=CC=C5)C(F)(F)F,>1000,nM,original,1000.0,2000.0
C1=CC=C(C=C1)CC2=CN=C3C(=C2C4=CC(=CC=C4)NCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,1.9,nM,original,1.9,1.9
C1=CC=C(C=C1)C(=O)C2=CN=C3C(=C2C4=CC(=CC=C4)OCC5=CC(=CC=C5)C(=O)O)C=CC=C3C(F)(F)F,1033,nM,original,1033.0,1033.0
C1=CC=C(C=C1)CC2=CN=C3C(=C2C4=CC=CC(=C4)CNC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,7,nM,original,7.0,7.0
